date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:32	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:50:34%20GMT	https://fenwad97.wixsite.com/	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/index.html	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:39	302439/302439	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202024%2015:50:40%20GMT	https://fenwad97.wixsite.com/nugwa-and-seun/getting-there	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/getting-there.html	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:42	807824/807824	---MCZ	200	added ('OK')	text/html	etag:W/%2214283326e5a1404b6294cd1c35ca8d0c%22	https://fenwad97.wixsite.com/nugwa-and-seun/event-details/nugwa-and-seun-a-celebration-of-yoruba-and-kogi-culture	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/event-details/nugwa-and-seun-a-celebration-of-yoruba-and-kogi-culture.html	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:43	1430/1430	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2015:50:45%20GMT	https://static.wixstatic.com/media/c837a6_e57945ee203d4c2282608344f313474e~mv2.png/v1/fill/w_59,h_33,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_e57945ee203d4c2282608344f313474e~mv2.png	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_e57945ee203d4c2282608344f313474e_mv2.png/v1/fill/w_59,h_33,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_e57945ee203d4c2282608344f313474e_mv2.png	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:43	4003/4003	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Apr%202024%2015:50:46%20GMT	https://static.wixstatic.com/media/84770f_37a6262eeb2e45c88f75a5b79ffeec9a~mv2.jpg/v1/fill/w_98,h_137,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/84770f_37a6262eeb2e45c88f75a5b79ffeec9a~mv2.jpg	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/84770f_37a6262eeb2e45c88f75a5b79ffeec9a_mv2.jpg/v1/fill/w_98,h_137,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/84770f_37a6262eeb2e45c88f75a5b79ffeec9a_mv2.jpg	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:45	2828/2828	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Apr%202024%2015:50:47%20GMT	https://static.wixstatic.com/media/c837a6_22812c0856e74ef283d24c64e25a6794~mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_22812c0856e74ef283d24c64e25a6794~mv2.jpg	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_22812c0856e74ef283d24c64e25a6794_mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_22812c0856e74ef283d24c64e25a6794_mv2.jpg	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:45	49912/49912	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Apr%202024%2015:50:47%20GMT	https://static.wixstatic.com/media/c837a6_113acc6993154f429fe5e9761c1f4e1d~mv2.jpg/v1/crop/x_72,y_231,w_894,h_1192/fill/w_360,h_480,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/GettyImages-1137850915_edited.jpg	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_113acc6993154f429fe5e9761c1f4e1d_mv2.jpg/v1/crop/x_72,y_231,w_894,h_1192/fill/w_360,h_480,al_c,q_80,usm_0.66_1.00_0.01,enc_au/GettyImages-1137850915_edited.d	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:46	29042/29042	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2015:50:48%20GMT	https://static.wixstatic.com/media/c837a6_d84034c1902e4735b0ac767b200d0be8~mv2.png/v1/fill/w_94,h_155,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/shutterstock_1366274078.png	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_d84034c1902e4735b0ac767b200d0be8_mv2.png/v1/fill/w_94,h_155,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/shutterstock_1366274078.png	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:46	2853/2853	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Apr%202024%2015:50:49%20GMT	https://static.wixstatic.com/media/84770f_7311f3e4ff1d4000b3ae3624af2f0335~mv2.jpg/v1/fill/w_122,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/84770f_7311f3e4ff1d4000b3ae3624af2f0335~mv2.jpg	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/84770f_7311f3e4ff1d4000b3ae3624af2f0335_mv2.jpg/v1/fill/w_122,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/84770f_7311f3e4ff1d4000b3ae3624af2f0335_mv2.jpg	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:47	3829/3829	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Apr%202024%2015:50:49%20GMT	https://static.wixstatic.com/media/c837a6_43b9a3b224464f8e92d2116decdd347f~mv2.jpg/v1/crop/x_50,y_60,w_1161,h_1547/fill/w_93,h_124,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/GettyImages-1137850823_edited.jpg	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_43b9a3b224464f8e92d2116decdd347f_mv2.jpg/v1/crop/x_50,y_60,w_1161,h_1547/fill/w_93,h_124,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/GettyImages-1137850823_edited.10	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:50	6013/6013	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2015:50:49%20GMT	https://static.wixstatic.com/media/c837a6_7e31080dae74484894eb56ae23e08252~mv2.png/v1/fill/w_86,h_48,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/gettyimages-1218386385-2048x2048_cut.png	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_7e31080dae74484894eb56ae23e08252_mv2.png/v1/fill/w_86,h_48,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/gettyimages-1218386385-2048x2048_cut.png	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:50	1769/1769	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2015:50:53%20GMT	https://static.wixstatic.com/media/c837a6_0e063b033b0642c696bb2f8420cef166~mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_0e063b033b0642c696bb2f8420cef166~mv2.png	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_0e063b033b0642c696bb2f8420cef166_mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_0e063b033b0642c696bb2f8420cef166_mv2.png	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:51	31259/31259	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2015:50:53%20GMT	https://static.wixstatic.com/media/c837a6_cb09b26a672949f5b59d8ae20f418e87~mv2.png/v1/crop/x_0,y_7,w_497,h_680/fill/w_103,h_141,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/gettyimages-1218957805-2048x2048.png	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_cb09b26a672949f5b59d8ae20f418e87_mv2.png/v1/crop/x_0,y_7,w_497,h_680/fill/w_103,h_141,al_c,q_85,usm_0.66_1.00_0.01,blur_3/gettyimages-1218957805-2048x2048.15	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:51	2293/2293	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Apr%202024%2015:50:53%20GMT	https://static.wixstatic.com/media/c837a6_b3362ae767bf40d0b7fe94c9fa01037b~mv2.jpeg/v1/crop/x_0,y_1115,w_4306,h_5416/fill/w_68,h_85,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/AdobeStock_296323944_Preview.jpeg	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/c837a6_b3362ae767bf40d0b7fe94c9fa01037b_mv2.jpe/v1/crop/x_0,y_1115,w_4306,h_5416/fill/w_68,h_85,al_c,q_80,usm_0.66_1.00_0.01,blur_2,e/AdobeStock_296323944_Preview.14	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:52	65254/65254	---M--	200	added ('OK')	application/javascript	etag:W/%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:52	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:50:55%20GMT	https://fenwad97.wixsite.com/sitemap.xml	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/sitemap.17.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:53	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:50:56%20GMT	https://fenwad97.wixsite.com/feed.xml	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/feed.18.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:54	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:50:57%20GMT	https://fenwad97.wixsite.com/${n.uri}	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/${n.19.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:55	88450/88450	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ea2f6ca2b0d403838f7a27dfe5685cd7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.bd0edef9.bundle.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.bd0edef9.bundle.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:56	201300/201300	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e6c9c167f90ef7756af39c5c981a2d6%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.80b408cc.bundle.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/wix-thunderbolt/dist/main.80b408cc.bundle.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:57	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:58	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:58	10737/10737	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d86dcdbfed4c273c4742744941259902%22	https://static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:50:59	131882/131882	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264141792105ea4861f9f33294d65ab81%22	https://static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:51:00	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:51:03%20GMT	https://fenwad97.wixsite.com/decodeURIComponent(e	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/decodeURIComponent(e.20.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:51:02	7305/7305	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f370ea20b812382ebe915671e3e24%22	https://static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:51:03	30907/30907	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e646fa090a760653cfa56c727bb5a13%22	https://static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	(from https://fenwad97.wixsite.com/nugwa-and-seun)
16:51:04	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:51:07%20GMT	https://fenwad97.wixsite.com/nugwa-and-seun/robots.txt	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/robots.23.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun/getting-there)
16:51:05	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:51:08%20GMT	https://fenwad97.wixsite.com/nugwa-and-seun/sitemap.xml	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/sitemap.24.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun/getting-there)
16:51:06	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:51:09%20GMT	https://fenwad97.wixsite.com/nugwa-and-seun/feed.xml	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/feed.25.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun/getting-there)
16:51:07	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:51:10%20GMT	https://fenwad97.wixsite.com/nugwa-and-seun/${n.uri}	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/${n.26.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun/getting-there)
16:51:08	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:51:11%20GMT	https://fenwad97.wixsite.com/nugwa-and-seun/decodeURIComponent(e	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/decodeURIComponent(e.27.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun/getting-there)
16:51:11	4816/4816	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Apr%202024%2015:51:13%20GMT	https://static.wixstatic.com/media/11062b_585cc3b8fa9e4e7b86c8058a6810feee~mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_585cc3b8fa9e4e7b86c8058a6810feee~mv2.jpg	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/static.wixstatic.com/media/11062b_585cc3b8fa9e4e7b86c8058a6810feee_mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_585cc3b8fa9e4e7b86c8058a6810feee_mv2.jpg	(from https://fenwad97.wixsite.com/nugwa-and-seun/event-details/nugwa-and-seun-a-celebration-of-yoruba-and-kogi-culture)
16:51:17	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:51:20%20GMT	https://fenwad97.wixsite.com/nugwa-and-seun/event-details/sitemap.xml	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/event-details/sitemap.2a.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun/event-details/nugwa-and-seun-a-celebration-of-yoruba-and-kogi-culture)
16:51:19	807906/807906	---MCZ	200	added ('OK')	text/html	etag:W/%22f8060d3312c7fd26dc02d2c0b557520e%22	https://fenwad97.wixsite.com/nugwa-and-seun/event-details/robots.txt	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/event-details/robots.html	(from https://fenwad97.wixsite.com/nugwa-and-seun/event-details/nugwa-and-seun-a-celebration-of-yoruba-and-kogi-culture)
16:51:19	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2015:51:21%20GMT	https://fenwad97.wixsite.com/nugwa-and-seun/event-details/feed.xml	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/event-details/feed.2b.delayed	(from https://fenwad97.wixsite.com/nugwa-and-seun/event-details/nugwa-and-seun-a-celebration-of-yoruba-and-kogi-culture)
16:51:24	807567/807567	---MCZ	200	added ('OK')	text/html	etag:W/%22f70da7eb1a23ba2a978e7d5af981d365%22	https://fenwad97.wixsite.com/nugwa-and-seun/event-details/${n.uri}	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/event-details/${n.html	(from https://fenwad97.wixsite.com/nugwa-and-seun/event-details/nugwa-and-seun-a-celebration-of-yoruba-and-kogi-culture)
16:51:29	807914/807914	---MCZ	200	added ('OK')	text/html	etag:W/%228b0068d5ea0ae2d942f1cff899ce0295%22	https://fenwad97.wixsite.com/nugwa-and-seun/event-details/decodeURIComponent(e	C:/Users/Oluwaseun/Desktop/Birdview/Seunwed/fenwad97.wixsite.com/nugwa-and-seun/event-details/decodeURIComponent(e.html	(from https://fenwad97.wixsite.com/nugwa-and-seun/event-details/nugwa-and-seun-a-celebration-of-yoruba-and-kogi-culture)
